Consensus Assessments Initiative Questionnaire CAIQ Lite,,,,,,,
,,,,,https://octopus.com/docs/security/caiq,https://www.green-triangle.com/caiq/,
,,,,,,,
Section Heading,Control Heading,Original ID,Question Text,Answer,Notes,Internal Notes,
Application & Interface Security,Application Security,AIS-01.2,Do you use an automated source code analysis tool to detect security defects in code prior to production?,Yes,We use tools that detect vulnerabilities within our source code and its dependencies. These tools automatically run when new code is added to the project code base.,"Rubocop, CI, Github Security, CodeQL for VS Code",
,,AIS-01.5,(SaaS only) Do you review your applications for security vulnerabilities and address any issues prior to deployment to production?,Yes,"In addition to the tools mentioned in AIS-01.2 which will block the deployment of unsuitable code, new code is peer reviewed prior to deployment to production.","Crawler tests, permission tests, CI",
,Customer Access Requirements,AIS-02.1,"Are all identified security, contractual, and regulatory requirements for customer access contractually addressed and remediated prior to granting customers access to data, assets, and information systems?",Yes,Clear information is presented to users on what the entered data is for and who can access their data. For example: members know who will be able to view the information that they are asked to submit.,,
,Data Integrity,AIS-03.1,Does your data management policies and procedures require audits to verify data input and output integrity routines?,Not Applicable,,,"Unsure, need to find more info. See https://octopus.com/docs/security/caiq or https://www.green-triangle.com/caiq/"
Audit Assurance & Compliance,Independent Audits,AAC-02.1,Do you allow tenants to view your SOC2/ISO 27001 or similar third-party audit or certification reports?,Not Applicable,"Our Cloud provider, AWS, has certification for compliance with ISO/IEC 27001. We follow all the best practices recommended by AWS, but we have not applied for ISO 27001/SOC2 certification ourselves at this stage.",TODO: Need to audit,
,,AAC-02.2,Do you conduct network penetration tests of your cloud service infrastructure at least annually?,R&D,,"Annually recurring checklist, and calendar event","OpenVAS (install linux distro) and Nessus (16 free hosts, can do web application testing)"
,,AAC-02.3,Do you conduct application penetration tests of your cloud infrastructure regularly as prescribed by industry best practices and guidance?,R&D,,,"OpenVAS (install linux distro) and Nessus (16 free hosts, can do web application testing)"
,Information System Regulatory Mapping,AAC-03.1,"Do you have a program in place that includes the ability to monitor changes to the regulatory requirements in relevant jurisdictions, adjust your security program for changes to legal requirements, and ensure compliance with relevant regulatory requirements?",TODO,"We seek to maintain compliance to the cyber security laws of our target markets. Being based in Australia, we ensure that our operation is in compliance with Australian laws.",TODO: Check TA and https://www.homeaffairs.gov.au/cyber-security-subsite/Pages/cyber-security-act.aspx,
Business Continuity Management & Operational Resilience,Business Continuity Testing,BCR-02.1,Are business continuity plans subject to testing at planned intervals or upon significant organizational or environmental changes to ensure continuing effectiveness?,Yes,Various testing is performed (which includes stress testing and functional testing) regularly.,TODO: scheduled stress testing,
,Policy,BCR-10.1,Are policies and procedures established and made available for all personnel to adequately support services operations’ roles?,Yes,Onboarding and best practice documentation,,
,Retention Policy,BCR-11.1,Do you have technical capabilities to enforce tenant data retention policies?,Yes,"Our offering does not include multi-tenancy. Having said that, all data sits in our DB so we have full control over our user data.",,
,,BCR-11.3,"Have you implemented backup or recovery mechanisms to ensure compliance with regulatory, statutory, contractual or business requirements?",Yes,"Regular backup and additional backups prior to major operations, such as server upgrades",,This and below not done
,,BCR-11.7,Do you test your backup or redundancy mechanisms at least annually?,DEV,Databases are restored using backup snapshots to ensure the redundancy mechanism is working.,"Annually recurring checklist, and calendar event",Need to build tool
Change Control & Configuration Management,Unauthorized Software Installations,CCC-04.1,Do you have controls in place to restrict and monitor the installation of unauthorized software onto your systems?,DEV,This is achieved by leveraging threat detection services that provide protection against malwarein our systems.,Need to find out how,
Data Security & Information Lifecycle Management,E-commerce Transactions,DSI-03.1,"Do you provide standardized (e.g. ISO/IEC) non-proprietary encryption algorithms (3DES, AES, etc.) to tenants in order for them to protect their data if it is required to move through public networks (e.g., the Internet)?",Yes,All data transfers are conducted over Transport Layer Security (TLS) 1.2+.,,
,,DSI-03.2,"Do you utilize open encryption methodologies any time your infrastructure components need to communicate with each other via public networks (e.g., Internet-based replication of data from one environment to another)?",Yes,Client-server communication is conducted over HTTPS,,
,Nonproduction Data,DSI-05.1,Do you have procedures in place to ensure production data shall not be replicated or used in non-production environments?,Yes,"Our operating procedure and tooling do not support copying and distribution of production data outside of our production environment. Copying of production data is only performed in the form of encrypted offline snapshots for backup purposes and in this case, the snapshots are not downloadable and stay within our cloud infrastructure.",,
,Secure Disposal,DSI-07.1,"Do you support the secure deletion (e.g., degaussing/cryptographic wiping) of archived and backed-up data?",Not Applicable,"Hardware level deletion of data is handled by our Cloud provider, AWS.",,
,,DSI-07.2,"Can you provide a published procedure for exiting the service arrangement, including assurance to sanitize all computing resources of tenant data once a customer has exited your environment or has vacated a resource?",Not Applicable,"Our offering does not include multi-tenancy. Having said that, all user and organization data will be deleted after a certain period once they have chosen to delete their accounts.",TODO: Link to privacy policy on deletion,
Datacenter Security,Asset Management,DCS-01.2,Do you maintain a complete inventory of all of your critical assets located at all sites/ or geographical locations and their assigned ownership?,Yes,We maintain a list of all the assets that required for the functioning of our Web application and business operations.,See assets.txt,
,Controlled Access Points,DCS-02.1,"Are physical security perimeters (e.g., fences, walls, barriers, guards, gates, electronic surveillance, physical authentication mechanisms, reception desks, and security patrols) implemented for all areas housing sensitive data and information systems?",Not Applicable,Data storage is managed by AWS. TODO: Read AWS policy,,
